RN;TWEET;CATEGORIA
5;o sea va a votar a javier milei;Positivo
6;presideeeente peluca presideeente peluca presideeente peluca presideeeeenteeee javier milei 2023 viva la libertad carajo;Positivo
8;es con el milei sin dudas;Positivo
10;lo e escuchado hablar de casta política alguien le puede avisar al sr milei que el también forma parte que hace referencia de si mismo;Negativo
11;es mi lamentable deber informar que javier milei ha fallecido qepd;Negativo
12;el merluzo y su 68 de desaprobación qué sentirá realmente javier milei merluzoinepto alerta rechazoagenda2030 mario kreutzenberger mesacentral jadue cachureos pailita;Negativo
13;venias bien y luego te fuiste al pasto creyendo que milei es la solución milei es funcional a los k;Negativo
14;ya no sabes como hacerle propaganda política a milei cada ves q estas en tn o ln y le tiras tierra a jxc q te paaasa;Negativo
15;heavy lo de argentina tienen a milei  un facho de ultra derecha que quiere ser presidente;Positivo
16;milei le dio cátedra a periodista zurdo paraguayo shorts milei a través de;Positivo
19;propuestas de milei clapping_hands clapping_hands clapping_hands clapping_hands;Positivo
20;partido libertario con javier milei al 2023;Positivo
22;por pelotudas como estas después milei tiene el 20;Negativo
23;argentina volverá a ser grande otra vez de la mano de javier milei 2023 será liberal y vamos a sacar para siempre al kirchnerismo javier milei 2023 Argentina red_heart;Positivo
30;ojalá y puedas milei sacar a la argentina de esa peste socialista yo no soy Argentina pero si anticomunista hasta la medula y te deseo la mejor de las suertes;Positivo
31;hace 40 años que hace política y vive del estado la primera vez que dice  ideas de la libertad  no subestimen a la gente liberalismo original es el del león lo demás socialismo disfrazado javier milei 2023;Positivo
32;speaking_head milei en córdoba con medidas concretas y no sarasa argentina puede volver a ser potencia mundial además dijo que este gobierno de delincuentes emitió por el equivalente a dos bases monetarias cómo no va a haber inflación;Positivo
34;milei abrazo;Positivo
35;el ismo no determina lo que se produce sino aquello que se hace con la ganancia de lo que se produjo así de ignorantes son uds los libertarios sabiduría de microondas es lo que tienen por eso están perdiendo elecciones y no milei no va va a ganar;Negativo
37;javier milei presidente;Positivo
40;milei en san juan vengo para poner de pie a la argentina e irme ahora mile en sanjuan libertarios libertadavanza elecciones2023  a través de;Positivo
42;Argentina javier milei thinking_face backhand_index_pointing_right_mediumdark_skin_tone depende de vos peluca lion  si te duermes camarónlos tibios se te adelantan o los zorros se apropian tergiversando la esencia man_shrugging_mediumdark_skin_tone;Positivo
44;de acuerdo javier mileitotalmente de acuerdo los derechos de uno terminan cuando comienzan los derechos del otro;Positivo
46;será mejor el estercolero hecho persona de javier milei que nos trajeron a españa;Positivo
48;javier milei dijo que los jóvenes lo siguen porque tienen menos tiempo de exposición al lavado de cerebro de la educación pública;Positivo
49;milei 2023 y que reviente todo;Positivo
50;clarín  javier milei dijo que los jóvenes lo siguen porque tienen menos tiempo de exposición al lavado de cerebro de la educación pública;Positivo
51;clarín  el desencanto juvenil que alimenta el crecimiento de javier milei y los votos que le roba los k;Positivo
52;después nos asombramos que aparezcan milei y toda esa runfla de facho milei existe por ustedes hijxs de putx;Negativo
53;heavy lo de argentina tienen a milei  un facho de ultra derecha que quiere ser presidente grimacing_face;Negativo
55;cuánta ignorancia venimos de un gobierno neoliberal tuvimos a carlos saúl ni hablemos de la dictadura cívico militar anda a estudiar escuchar al facho de milei no es aprender algo;Negativo
56;conozco varios casos de conocidossabes a quien van a votar ahora a milei jajajajjaa cambian un facho de izquierda x otro de derecha;Negativo
57;uh callate facho seguro votas a milei;Negativo
61;milei hace alianzas con los k y yo que pertenezco al pl decis que;Negativo
63;que bárbaro lo que causo milei en san juan;Positivo
65;es sarasa vs sarasa milei pocas palabras y pocas ideas sos eso;Negativo
67;no son nada milei 2023;Positivo
70;imagino que milei tampoco ha entendido nada igual que yo al apoyar a vox;Negativo
71;javier milei juntos por el cambio es el camino para máximo presidente en el 2027;Positivo
72;si por eso votamos a milei;Positivo
76;milei gobernó 12 años seguidos;Positivo
77;basadisimo milei estos lilitos politiqueros de cuarta quieren legislar presentar proyectos denunciar son infumables hay que didicarse a dar guerras culturales;Positivo
78;milei en vivo en río cuarto córdoba;Positivo
79;solo se van a dedicar hablar de milei o de hds beaming_face_with_smiling_eyes;Positivo
83;yo creo que no puede ser una sola persona se debe tener un muy buen equipo de gente dispuesta a meter manos a la obra yo voto a milei quiénes serán sus acompañantes mendoza seguirá en manos radicales pensive_face;Positivo
84;amiga no hay camino solo la libertad milei es la única vía posible flexed_biceps flexed_biceps flexed_biceps;Positivo
87;déjame adivinar no irónicamente escuchas a los mongoles de laje y milei;Negativo
89;que marra no cobra del estadoal igual que villarruel y mileiellos no gastan en viáticos como los viajes en avión ni le pagan a sus asesores o secretarios con plata del estado;Positivo
91;claro y subir en ese pedestal a retrasados como milei o bolsonaro además ese pedestal lo ves vos solo;Negativo
93;si milei el único que propone un plan concreto y no se la pasa boludeando en internas baratas alardeando que hace falta un plan sin decirlo eso hace exactamente cambiemos;Positivo
94;protección del medio ambiente las pelotas dedíquense a peoteger la propiedad privada y no se metan en lo que le corresponde a los productores pedazo de comunista después no lloren cuando gane milei en 2023;Positivo
100;quién puede votar a milei rifa su sueldo porque vive de una empresa de transporte subvencionada por el estado no se presenta en las sesiones de diputados y tampoco elabora ningún proyecto ni en contra ni a favor es una estafa;Negativo
101;milei delirante funcional al kichnerismo;Negativo
102;estan haciendo todo lo posible para que no voten los jóvenes que quieren votar a milei;Positivo
105;creo que al león le van a hacer una gran emboscadaya que no para de crecer estemos muy atentos necesitamos fiscales de mesa y afiliaciones milei 2023;Positivo
107;voten a milei gente;Positivo
